time,x,y,z,qx,qy,qz,qw
1536128154.376855544,0.26559,-0.914288,0.291723,-0.425127,-0.615391,-0.576961,0.328142
1536128154.385972085,0.265783,-0.914252,0.291705,-0.4252,-0.615221,-0.577054,0.328203
1536128154.398646042,0.26582,-0.914312,0.291801,-0.425281,-0.615039,-0.577153,0.328264
1536128154.410426532,0.265645,-0.91402,0.291792,-0.425372,-0.615006,-0.5772,0.328127
1536128154.421448673,0.265484,-0.914111,0.291822,-0.425338,-0.615131,-0.57716,0.328005
1536128154.431431483,0.265407,-0.914115,0.291799,-0.425189,-0.615274,-0.577145,0.327957
1536128154.442833094,0.265359,-0.914347,0.291816,-0.424993,-0.615309,-0.577208,0.328036
1536128154.454395489,0.265297,-0.91401,0.291635,-0.424837,-0.615446,-0.577278,0.327857
1536128154.464844685,0.265016,-0.913712,0.291842,-0.424615,-0.615615,-0.577227,0.327916
1536128154.476924415,0.265091,-0.913708,0.292032,-0.424521,-0.615706,-0.577156,0.327993
1536128154.487023930,0.264936,-0.913836,0.292117,-0.424462,-0.615785,-0.577174,0.327889
1536128154.498763985,0.264813,-0.913775,0.292103,-0.424428,-0.615927,-0.576976,0.328016
1536128154.510882295,0.264886,-0.913726,0.29212,-0.424483,-0.616007,-0.576901,0.327927
1536128154.520553409,0.264967,-0.913678,0.292025,-0.424606,-0.615953,-0.576781,0.328078
1536128154.531580285,0.265072,-0.913915,0.291837,-0.424772,-0.615849,-0.576776,0.328068
1536128154.542702962,0.265136,-0.913973,0.291758,-0.424883,-0.615765,-0.576725,0.328171
1536128154.553815671,0.26509,-0.914156,0.291883,-0.424945,-0.615672,-0.576778,0.328172
1536128154.568470242,0.265066,-0.914238,0.291868,-0.424934,-0.615649,-0.576792,0.328205
1536128154.576638036,0.264937,-0.914001,0.291894,-0.424927,-0.615672,-0.576712,0.328311
1536128154.587545576,0.264929,-0.913979,0.291812,-0.424874,-0.615644,-0.576798,0.328283
1536128154.599550779,0.264854,-0.913875,0.291842,-0.424834,-0.615777,-0.576711,0.328236
1536128154.610752741,0.264618,-0.913878,0.291727,-0.42479,-0.615838,-0.576697,0.328204
1536128154.623253726,0.264505,-0.91382,0.291678,-0.424504,-0.616024,-0.576667,0.328278
1536128154.632665211,0.26433,-0.913992,0.29159,-0.424331,-0.616078,-0.576744,0.328266
1536128154.644274379,0.264288,-0.913986,0.291685,-0.424287,-0.616018,-0.576855,0.328239
1536128154.655342731,0.26428,-0.913897,0.291706,-0.424182,-0.616026,-0.576901,0.32828
1536128154.666737307,0.264271,-0.914011,0.29162,-0.42415,-0.616085,-0.576879,0.328248
1536128154.677095645,0.264344,-0.914015,0.291671,-0.424229,-0.615989,-0.57692,0.328254
1536128154.688851835,0.264358,-0.914017,0.291625,-0.424228,-0.61603,-0.576879,0.328251
1536128154.701073226,0.264322,-0.913743,0.291807,-0.424208,-0.616277,-0.576614,0.328277
1536128154.712278587,0.264403,-0.913756,0.291826,-0.424308,-0.616124,-0.576621,0.328424
1536128154.722206777,0.264491,-0.913575,0.29166,-0.424547,-0.616054,-0.576651,0.328193
1536128154.735946012,0.264455,-0.913534,0.291665,-0.424625,-0.616012,-0.576661,0.328156
1536128154.743617719,0.264484,-0.913558,0.291638,-0.424633,-0.615945,-0.576614,0.328352
1536128154.755005533,0.264389,-0.91373,0.291636,-0.424698,-0.615926,-0.576639,0.328261
1536128154.768586404,0.264326,-0.913769,0.291596,-0.424718,-0.615905,-0.576647,0.32826
1536128154.778287969,0.264302,-0.913866,0.291507,-0.424677,-0.615962,-0.576456,0.328543
1536128154.790379938,0.264373,-0.91393,0.291493,-0.424862,-0.615831,-0.576641,0.328221
1536128154.799970881,0.264395,-0.913964,0.291478,-0.424789,-0.615799,-0.576618,0.328418
1536128154.811114298,0.264479,-0.913929,0.291556,-0.424887,-0.615684,-0.57672,0.328327
1536128154.823021309,0.264632,-0.914015,0.291745,-0.42492,-0.615659,-0.576567,0.3286
1536128154.834423045,0.26467,-0.914011,0.291815,-0.424881,-0.615585,-0.576725,0.328511
1536128154.845609518,0.264636,-0.914049,0.291863,-0.424827,-0.615583,-0.576756,0.328529
1536128154.855506244,0.264521,-0.914083,0.291899,-0.424865,-0.615541,-0.576764,0.328547
1536128154.868385138,0.264491,-0.914014,0.291963,-0.424793,-0.615608,-0.576722,0.328589
1536128154.879739913,0.264425,-0.913941,0.291945,-0.424779,-0.615602,-0.576763,0.328545
1536128154.888463789,0.264432,-0.913683,0.291781,-0.424737,-0.615597,-0.576863,0.328432
1536128154.901381015,0.264303,-0.913706,0.291682,-0.424517,-0.615903,-0.576561,0.328674
1536128154.912859352,0.264242,-0.913691,0.291648,-0.424563,-0.615751,-0.576744,0.328578
1536128154.924030777,0.264109,-0.913768,0.291671,-0.424561,-0.615891,-0.576615,0.328544
1536128154.936278523,0.264079,-0.913724,0.291682,-0.424534,-0.615855,-0.576638,0.328607
1536128154.946197726,0.264315,-0.913841,0.291829,-0.424579,-0.61579,-0.576601,0.328735
1536128154.956092080,0.264242,-0.913837,0.291913,-0.424674,-0.615784,-0.576567,0.328683
1536128154.968581055,0.264281,-0.913937,0.291856,-0.424729,-0.615666,-0.576646,0.328696
1536128154.978306229,0.264339,-0.913934,0.291788,-0.424833,-0.615599,-0.576573,0.328813
1536128154.991172790,0.264477,-0.91398,0.291738,-0.424959,-0.615451,-0.57663,0.328829
1536128155.001768003,0.264532,-0.913974,0.29178,-0.425044,-0.615346,-0.576637,0.328902
1536128155.013113469,0.264497,-0.914003,0.291774,-0.425098,-0.615265,-0.576654,0.328954
1536128155.023740867,0.264585,-0.914016,0.291738,-0.42501,-0.615284,-0.576723,0.328914
1536128155.034350717,0.264497,-0.914093,0.291689,-0.42498,-0.615345,-0.576683,0.328906
1536128155.046464168,0.264434,-0.914099,0.291706,-0.424942,-0.615345,-0.576688,0.328948
1536128155.057199448,0.264394,-0.913943,0.291621,-0.424888,-0.615446,-0.576698,0.32881
1536128155.072200320,0.264303,-0.913696,0.291768,-0.424751,-0.615611,-0.576612,0.328829
1536128155.081207170,0.264184,-0.913643,0.291772,-0.424808,-0.615513,-0.576744,0.328707
1536128155.089345622,0.26414,-0.913663,0.291801,-0.424611,-0.615678,-0.576593,0.328918
1536128155.101438936,0.264084,-0.913806,0.291714,-0.424664,-0.615699,-0.57661,0.328778
1536128155.112501175,0.264154,-0.913824,0.291738,-0.424671,-0.615654,-0.576656,0.328775
1536128155.124882270,0.264147,-0.913895,0.291765,-0.424707,-0.615685,-0.576574,0.328813
1536128155.136203684,0.264308,-0.913873,0.291758,-0.42472,-0.615677,-0.57652,0.328908
1536128155.146028537,0.264485,-0.913962,0.291865,-0.424889,-0.615491,-0.576525,0.329029
1536128155.158071170,0.264574,-0.913941,0.291829,-0.425024,-0.615385,-0.576573,0.328967
1536128155.169959631,0.264449,-0.913711,0.292068,-0.425027,-0.615377,-0.57657,0.328983
1536128155.179699868,0.264322,-0.913655,0.291926,-0.425083,-0.615334,-0.576487,0.329137
1536128155.191253638,0.264376,-0.913809,0.291925,-0.425162,-0.615243,-0.576581,0.32904
1536128155.202095339,0.26438,-0.913995,0.291756,-0.425053,-0.61527,-0.576585,0.329125
1536128155.212278730,0.264315,-0.913992,0.291729,-0.425018,-0.615268,-0.576569,0.329201
1536128155.225589588,0.264212,-0.913832,0.291679,-0.425082,-0.615161,-0.576666,0.32915
1536128155.235983620,0.264172,-0.913728,0.291702,-0.425042,-0.61519,-0.576668,0.329143
1536128155.247981414,0.264214,-0.913722,0.291793,-0.425034,-0.615224,-0.576608,0.329193
1536128155.258852703,0.264296,-0.913772,0.291708,-0.425034,-0.615214,-0.576614,0.329203
1536128155.270983420,0.264259,-0.913928,0.291587,-0.42499,-0.615252,-0.576601,0.329211
1536128155.283698309,0.264325,-0.913963,0.291657,-0.424954,-0.615218,-0.576641,0.329251
1536128155.291064260,0.2643,-0.913946,0.291633,-0.425014,-0.615275,-0.576602,0.329137
1536128155.302380889,0.264326,-0.913725,0.291753,-0.424882,-0.615392,-0.576535,0.329206
1536128155.316074335,0.264325,-0.913771,0.291722,-0.425015,-0.615238,-0.576605,0.329199
1536128155.324656388,0.264367,-0.913587,0.29163,-0.424903,-0.615318,-0.576556,0.329281
1536128155.338876983,0.264315,-0.913796,0.291423,-0.424897,-0.615306,-0.576597,0.329237
1536128155.347377197,0.264404,-0.913856,0.291504,-0.424942,-0.615282,-0.576582,0.32925
1536128155.357750131,0.264304,-0.913962,0.291539,-0.424895,-0.615274,-0.576558,0.329368
1536128155.370990181,0.264362,-0.913762,0.291696,-0.424951,-0.615317,-0.5765,0.329317
1536128155.381251764,0.26437,-0.913783,0.291685,-0.424998,-0.615227,-0.576575,0.329293
1536128155.394164407,0.264295,-0.914015,0.291779,-0.425093,-0.615155,-0.576587,0.329285
1536128155.403202832,0.264252,-0.913942,0.291893,-0.425036,-0.615285,-0.576493,0.329278
1536128155.415651213,0.264311,-0.913988,0.291941,-0.425098,-0.615257,-0.576456,0.329317
1536128155.426593325,0.264428,-0.913992,0.29187,-0.425119,-0.615082,-0.576604,0.329356
1536128155.437696268,0.264393,-0.914143,0.291783,-0.425071,-0.615099,-0.576592,0.32941
1536128155.449561896,0.264344,-0.914154,0.291765,-0.424974,-0.615149,-0.576578,0.329464
1536128155.458796758,0.264352,-0.914066,0.291676,-0.425076,-0.615126,-0.576532,0.329458
1536128155.470241695,0.264329,-0.913869,0.291816,-0.425047,-0.615177,-0.576589,0.329299
1536128155.482698368,0.264339,-0.913889,0.291838,-0.425059,-0.615212,-0.576538,0.329307
1536128155.492423604,0.264309,-0.913943,0.291829,-0.425034,-0.615162,-0.576583,0.329355
1536128155.504801464,0.264295,-0.914086,0.291698,-0.424853,-0.615373,-0.576421,0.329477
1536128155.515817216,0.264322,-0.914027,0.291636,-0.424913,-0.615208,-0.576627,0.329346
1536128155.527658023,0.264228,-0.914003,0.291642,-0.424887,-0.615269,-0.576556,0.32939
1536128155.539311031,0.264284,-0.913739,0.291814,-0.424875,-0.615393,-0.576415,0.329422
1536128155.549050409,0.264307,-0.913705,0.291771,-0.424929,-0.615299,-0.576507,0.329367
1536128155.560549803,0.264332,-0.913807,0.291794,-0.425043,-0.61525,-0.576502,0.329319
1536128155.570984236,0.264359,-0.913907,0.291745,-0.425053,-0.615143,-0.576556,0.329412
1536128155.582147914,0.2644,-0.913882,0.291699,-0.425163,-0.615111,-0.576538,0.329363
1536128155.592980676,0.264348,-0.913869,0.291703,-0.425188,-0.615051,-0.576569,0.329387
1536128155.605298476,0.264369,-0.913734,0.291749,-0.425168,-0.615112,-0.576493,0.329431
1536128155.615892127,0.264393,-0.913684,0.291738,-0.425175,-0.615092,-0.576496,0.329456
1536128155.627527811,0.264377,-0.913752,0.291725,-0.425229,-0.61504,-0.576541,0.329403
1536128155.639548038,0.264339,-0.9138,0.291666,-0.425286,-0.615019,-0.576542,0.329369
1536128155.649257921,0.264383,-0.913834,0.291717,-0.42514,-0.615075,-0.576512,0.329504
1536128155.659491941,0.264359,-0.913915,0.29171,-0.425099,-0.615107,-0.57652,0.329484
1536128155.671145633,0.264349,-0.913982,0.291654,-0.425111,-0.615142,-0.576474,0.329483
1536128155.682371273,0.264466,-0.914076,0.291805,-0.425181,-0.615084,-0.576483,0.329484
1536128155.695147132,0.26434,-0.913993,0.291848,-0.425225,-0.61498,-0.576572,0.329466
1536128155.704741682,0.264378,-0.913863,0.29194,-0.425153,-0.615132,-0.57648,0.329438
1536128155.715191205,0.264319,-0.913834,0.291865,-0.425204,-0.615101,-0.576458,0.329468
1536128155.728229411,0.264303,-0.913845,0.291853,-0.425258,-0.614978,-0.576546,0.329474
1536128155.738841473,0.264346,-0.913875,0.291806,-0.425142,-0.615044,-0.5765,0.329581
1536128155.753156625,0.264315,-0.914041,0.291681,-0.425245,-0.614969,-0.576566,0.329473
1536128155.761792410,0.264318,-0.914069,0.291648,-0.425167,-0.614992,-0.576559,0.329543
1536128155.771655679,0.264248,-0.914068,0.291559,-0.425248,-0.614943,-0.576554,0.329537
1536128155.783999062,0.264342,-0.913833,0.291373,-0.425214,-0.614892,-0.576626,0.329551
1536128155.793603268,0.264157,-0.913808,0.291387,-0.425188,-0.61497,-0.576555,0.329563
1536128155.808253834,0.26407,-0.913708,0.291325,-0.42521,-0.614904,-0.5766,0.329579
1536128155.817004819,0.264139,-0.913882,0.291292,-0.425261,-0.614935,-0.576517,0.3296
1536128155.827928828,0.264244,-0.914021,0.291502,-0.425215,-0.614968,-0.576555,0.329533
1536128155.840395430,0.264147,-0.914014,0.291504,-0.425281,-0.614923,-0.576524,0.329584
1536128155.849995373,0.26426,-0.913877,0.291741,-0.425281,-0.614992,-0.576466,0.329557
1536128155.862307035,0.264293,-0.913958,0.291722,-0.425274,-0.615017,-0.576434,0.329576
1536128155.874266470,0.264281,-0.914023,0.291685,-0.425282,-0.61494,-0.576499,0.329597
1536128155.883356024,0.264333,-0.914073,0.291704,-0.425244,-0.614961,-0.576457,0.329679
1536128155.895926490,0.26432,-0.913989,0.291646,-0.42529,-0.615007,-0.576416,0.329605
1536128155.906167556,0.264342,-0.913843,0.291782,-0.425264,-0.614948,-0.576512,0.329581
1536128155.916656841,0.264263,-0.913956,0.291823,-0.425233,-0.615062,-0.576399,0.329604
1536128155.929672858,0.264238,-0.913959,0.291827,-0.425276,-0.615,-0.576437,0.3296
1536128155.939811102,0.264249,-0.913861,0.291906,-0.425255,-0.615088,-0.576316,0.329674
1536128155.953393903,0.264233,-0.913803,0.291859,-0.425295,-0.614983,-0.576466,0.329556
1536128155.962060611,0.264305,-0.91385,0.291797,-0.425277,-0.615011,-0.576377,0.329684
1536128155.972236706,0.264324,-0.914065,0.291689,-0.425279,-0.615015,-0.576351,0.329717
1536128155.986369065,0.264336,-0.9141,0.291667,-0.425345,-0.614938,-0.57634,0.329796
1536128155.996971530,0.264367,-0.914157,0.291585,-0.425486,-0.61487,-0.576289,0.329829
1536128156.009365585,0.264428,-0.914025,0.291594,-0.425898,-0.61476,-0.576025,0.329965
1536128156.018219510,0.264612,-0.9139,0.291351,-0.426351,-0.614896,-0.575692,0.329707
1536128156.028319081,0.264487,-0.913802,0.291517,-0.426107,-0.615285,-0.575719,0.329249
1536128156.042143738,0.264509,-0.91371,0.2915,-0.425903,-0.614985,-0.576028,0.329534
1536128156.051199555,0.264383,-0.913838,0.291591,-0.425984,-0.614815,-0.576141,0.329548
1536128156.062461800,0.264344,-0.913798,0.2917,-0.425892,-0.614977,-0.57601,0.329594
1536128156.073903995,0.264285,-0.913943,0.291545,-0.425689,-0.614843,-0.576136,0.329885
1536128156.085461617,0.264249,-0.913956,0.291484,-0.425846,-0.614813,-0.576229,0.329576
1536128156.096725977,0.264087,-0.91391,0.291499,-0.425819,-0.614983,-0.576147,0.329439
1536128156.107440328,0.264144,-0.913834,0.291602,-0.425827,-0.61513,-0.575914,0.32956
1536128156.117202307,0.264124,-0.9138,0.291657,-0.425827,-0.61495,-0.576134,0.329511
1536128156.131108807,0.264201,-0.913845,0.291538,-0.425831,-0.614941,-0.57612,0.329548
1536128156.140446263,0.264164,-0.914036,0.291384,-0.425762,-0.61502,-0.576064,0.329587
1536128156.155270534,0.264219,-0.914089,0.291438,-0.425736,-0.614925,-0.576189,0.329579
1536128156.163108060,0.264291,-0.914123,0.291363,-0.425738,-0.614944,-0.576155,0.329602
1536128156.174509322,0.264323,-0.91409,0.291461,-0.425748,-0.614949,-0.576147,0.329593
1536128156.188620121,0.264335,-0.914118,0.29144,-0.42572,-0.614938,-0.576119,0.329699
1536128156.197402579,0.26432,-0.914144,0.291384,-0.425808,-0.614849,-0.576168,0.329665
1536128156.207235059,0.264382,-0.914156,0.291408,-0.425856,-0.614926,-0.576076,0.329621
1536128156.219890674,0.264387,-0.914151,0.291362,-0.425835,-0.614949,-0.5761,0.329563
1536128156.230078510,0.264359,-0.914159,0.291353,-0.425816,-0.614977,-0.576051,0.329619
1536128156.243786898,0.264405,-0.913987,0.291555,-0.425804,-0.614988,-0.576043,0.329629
1536128156.251964264,0.264349,-0.914033,0.2916,-0.425841,-0.614831,-0.57618,0.329633
1536128156.263012525,0.264308,-0.91398,0.291626,-0.425692,-0.614977,-0.576013,0.329846
1536128156.276544240,0.264267,-0.913928,0.291632,-0.425776,-0.614955,-0.576082,0.329658
1536128156.285422256,0.264302,-0.913869,0.291554,-0.425882,-0.614869,-0.576142,0.329577
1536128156.296965630,0.264336,-0.913894,0.291519,-0.425814,-0.615001,-0.576005,0.329659
1536128156.308604339,0.264349,-0.913942,0.29143,-0.425745,-0.615003,-0.575993,0.329766
1536128156.318777637,0.264228,-0.914057,0.291482,-0.425824,-0.614895,-0.576151,0.329589
1536128156.334274185,0.264265,-0.91389,0.291606,-0.425694,-0.615044,-0.575981,0.329775
1536128156.342454377,0.264225,-0.913921,0.291619,-0.425728,-0.615016,-0.575984,0.329779
1536128156.351990933,0.26419,-0.913947,0.291637,-0.425775,-0.614995,-0.576087,0.329577
1536128156.366636267,0.264226,-0.913973,0.29161,-0.425807,-0.614939,-0.576109,0.329601
1536128156.378842888,0.264196,-0.913976,0.291573,-0.425876,-0.614935,-0.576039,0.329641
1536128156.386787394,0.264217,-0.913924,0.291569,-0.425802,-0.61504,-0.575999,0.329612
1536128156.396670582,0.264253,-0.913939,0.291528,-0.425786,-0.615007,-0.576033,0.329634
1536128156.408453673,0.264245,-0.91404,0.291512,-0.4258,-0.615002,-0.576008,0.32967
1536128156.420628896,0.264278,-0.91399,0.291456,-0.425842,-0.614964,-0.576025,0.329657
1536128156.431849113,0.2643,-0.913979,0.291447,-0.425802,-0.614957,-0.576021,0.329728
1536128156.444101811,0.26434,-0.91385,0.291537,-0.425811,-0.614974,-0.575989,0.32974
1536128156.452946761,0.264302,-0.913854,0.291539,-0.425972,-0.61477,-0.576084,0.329747
1536128156.464608504,0.264312,-0.913874,0.291505,-0.425922,-0.614816,-0.576106,0.329688
1536128156.476833392,0.264333,-0.914021,0.291439,-0.425918,-0.614825,-0.576077,0.329728
1536128156.486269630,0.264323,-0.914038,0.291421,-0.425967,-0.614799,-0.576138,0.329605
1536128156.496718337,0.264269,-0.91403,0.291422,-0.425879,-0.614884,-0.576044,0.329726
1536128156.509139287,0.264278,-0.913819,0.291583,-0.425899,-0.61485,-0.576073,0.329713
1536128156.520554920,0.264246,-0.913845,0.291582,-0.425903,-0.614847,-0.576068,0.32972
1536128156.531207613,0.264036,-0.913802,0.291704,-0.425885,-0.614798,-0.576161,0.329672
1536128156.541964190,0.264091,-0.913993,0.2917,-0.425857,-0.614849,-0.576071,0.329772
1536128156.554711648,0.26407,-0.913971,0.291658,-0.425845,-0.614823,-0.576135,0.329722
1536128156.565842058,0.264194,-0.914032,0.29153,-0.42582,-0.61487,-0.576075,0.329773
1536128156.576021636,0.26419,-0.914069,0.291526,-0.425879,-0.614827,-0.576087,0.329756
1536128156.588467330,0.264211,-0.914042,0.291478,-0.42582,-0.614827,-0.576087,0.329832
1536128156.598387677,0.2642,-0.913817,0.29166,-0.425822,-0.614856,-0.57605,0.329841
1536128156.608554817,0.264203,-0.913829,0.291704,-0.425881,-0.614788,-0.576119,0.32977
1536128156.621752414,0.2642,-0.913815,0.291658,-0.425922,-0.614748,-0.576118,0.329795
1536128156.633516868,0.264267,-0.913825,0.291602,-0.425864,-0.614788,-0.576067,0.329882
1536128156.644931346,0.264302,-0.914253,0.291409,-0.425793,-0.614755,-0.57615,0.329891
1536128156.653573938,0.264327,-0.914218,0.291326,-0.425744,-0.614806,-0.576129,0.329897
1536128156.667518890,0.264221,-0.91397,0.291542,-0.425813,-0.614766,-0.576106,0.329921
1536128156.677346437,0.264384,-0.914065,0.291744,-0.425822,-0.614748,-0.57611,0.329938
1536128156.688631481,0.264407,-0.914065,0.291756,-0.425704,-0.614846,-0.576062,0.329991
1536128156.700150202,0.264402,-0.914019,0.291738,-0.425742,-0.614784,-0.576116,0.329962
1536128156.710609572,0.264373,-0.914009,0.29177,-0.425781,-0.6148,-0.576067,0.329967
1536128156.725562596,0.264306,-0.913966,0.291716,-0.425847,-0.614649,-0.576089,0.330125
1536128156.732384747,0.264322,-0.913909,0.291855,-0.426067,-0.614386,-0.576014,0.330461
