time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128082.031920110,1.0426,-0.599618,-2,-1.2516,-1.23237,-0.150604,-0.00681271
1536128082.039951653,0.965495,-0.531524,-2,-1.16652,-1.15685,-0.144652,-0.00725112
1536128082.047999337,0.881252,-0.462456,-1.95043,-1.07846,-1.06755,-0.136122,-0.0089422
1536128082.056187940,0.990448,-0.56572,-2,-1.21732,-1.21304,-0.157673,-0.0115262
1536128082.064251689,0.932016,-0.50929,-1.99548,-1.11588,-1.14317,-0.155527,-0.0124706
1536128082.072479512,1.05301,-0.591652,-2,-1.252,-1.2882,-0.184712,-0.0127224
1536128082.080653760,0.975844,-0.526833,-2,-1.16923,-1.21649,-0.183955,-0.0130024
1536128082.088659143,0.901407,-0.453241,-1.97843,-1.07815,-1.13574,-0.180048,-0.0145869
1536128082.096777938,1.01147,-0.555658,-2,-1.21766,-1.28324,-0.19918,-0.0180068
1536128082.104804149,0.954518,-0.504868,-2,-1.13853,-1.2128,-0.181714,-0.021151
1536128082.112837070,0.890381,-0.437801,-1.9368,-1.0335,-1.13699,-0.15692,-0.0247768
1536128082.154416673,1.38435,-0.873294,-2,-1.61869,-1.72863,-0.235553,-0.0310844
1536128082.162417391,1.07281,-0.523452,-1.93662,-1.19099,-1.29271,-0.133046,-0.03948
1536128082.170528138,0.976791,-0.41789,-1.83373,-1.08289,-1.16548,-0.108668,-0.0323014
1536128082.178659450,1.08757,-0.503977,-1.918,-1.21872,-1.29339,-0.128393,-0.020954
1536128082.186902341,1.0561,-0.477216,-1.80596,-1.14537,-1.21238,-0.120358,-0.01349
1536128082.194837878,1.01589,-0.432676,-1.68751,-1.06086,-1.12222,-0.113186,-0.00960253
1536128082.202813210,1.13454,-0.544242,-1.75584,-1.19044,-1.26232,-0.146276,-0.00789358
1536128082.210835984,1.07106,-0.498279,-1.66396,-1.10972,-1.19616,-0.147627,-0.00996622
1536128082.218891813,1.18503,-0.606104,-1.75632,-1.23634,-1.33468,-0.173358,-0.0122593
1536128082.226912305,1.11013,-0.551807,-1.66722,-1.15251,-1.24317,-0.166482,-0.0134139
1536128082.234904384,1.03122,-0.488739,-1.57821,-1.05325,-1.18192,-0.148968,-0.0166655
1536128082.242976195,1.14046,-0.596923,-1.6728,-1.1805,-1.29976,-0.158451,-0.0208439
1536128082.251055104,1.08194,-0.549138,-1.60475,-1.09805,-1.23112,-0.138623,-0.0259348
1536128082.259266566,1.1935,-0.650733,-1.70831,-1.22347,-1.36206,-0.140617,-0.0293187
1536128082.267276285,1.12086,-0.595477,-1.60731,-1.1168,-1.29099,-0.118735,-0.0338236
1536128082.275341151,1.0424,-0.520325,-1.52603,-1.02729,-1.20863,-0.11075,-0.0351149
1536128082.283385603,1.13681,-0.620735,-1.62153,-1.15658,-1.33374,-0.136993,-0.0395535
1536128082.291413135,1.07599,-0.564704,-1.55847,-1.08181,-1.25529,-0.133596,-0.0404387
1536128082.299430415,1.18256,-0.655634,-1.6639,-1.20592,-1.37592,-0.155471,-0.0402978
1536128082.307640827,1.10449,-0.595965,-1.58922,-1.12061,-1.29349,-0.146206,-0.0410539
1536128082.315731283,1.02371,-0.52637,-1.52201,-1.0285,-1.20529,-0.136847,-0.0452376
1536128082.323666212,1.11059,-0.613366,-1.63111,-1.14791,-1.32387,-0.150294,-0.0478627
1536128082.331751862,1.04719,-0.555156,-1.57527,-1.06822,-1.24159,-0.143016,-0.0501821
1536128082.339851092,1.13695,-0.646279,-1.68255,-1.18018,-1.34996,-0.166048,-0.0528385
1536128082.347887430,1.05541,-0.583622,-1.62687,-1.09342,-1.26421,-0.162373,-0.0524814
1536128082.356052369,0.974086,-0.516725,-1.57425,-1.0039,-1.14806,-0.147338,-0.0558828
1536128082.364119035,1.06434,-0.607498,-1.69032,-1.1133,-1.25311,-0.159373,-0.0578583
1536128082.372314207,1.00513,-0.544382,-1.63212,-1.01639,-1.17225,-0.140038,-0.0622228
1536128082.380312290,1.10251,-0.628156,-1.74457,-1.1216,-1.26703,-0.147639,-0.0656179
1536128082.388418084,1.02705,-0.56634,-1.69719,-1.04575,-1.18214,-0.132114,-0.0664695
1536128082.396497380,0.953505,-0.508084,-1.6427,-0.966213,-1.08301,-0.112002,-0.0696996
1536128082.404492007,1.03779,-0.597856,-1.75477,-1.07739,-1.17578,-0.124508,-0.0624479
1536128082.412653967,0.982424,-0.541116,-1.71524,-1.01043,-1.09035,-0.112655,-0.0541604
1536128082.420700141,1.07802,-0.618475,-1.8283,-1.12405,-1.17638,-0.129978,-0.0485976
1536128082.428730652,1.00891,-0.560215,-1.78509,-1.05206,-1.08748,-0.122761,-0.0347326
1536128082.436755263,0.945422,-0.491963,-1.73706,-0.978455,-0.987434,-0.113907,-0.0295521
1536128082.444932536,1.03275,-0.566302,-1.84662,-1.08476,-1.0772,-0.134917,-0.0282479
1536128082.452956596,0.988102,-0.510576,-1.80356,-1.01406,-0.98062,-0.124526,-0.0259143
1536128082.461002307,1.08334,-0.591671,-1.89027,-1.09596,-1.0758,-0.139449,-0.0183939
