time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1535942023.817208609,-0.204308,0.319839,-0.255654,-0.0794323,0.131326,-0.0203968,0.156331
1535942023.823394268,-0.224125,0.319263,-0.255315,-0.0798397,0.131225,-0.0192805,0.156113
1535942023.829563130,-0.241587,0.31829,-0.255899,-0.0793808,0.133134,-0.0167142,0.155728
1535942023.835643407,-0.253004,0.318421,-0.256767,-0.0797319,0.132376,-0.0174968,0.1577
1535942023.841833775,-0.248033,0.318449,-0.256449,-0.0809248,0.133208,-0.0162654,0.156113
1535942023.847991907,-0.152523,0.324769,-0.257983,-0.0729157,0.120878,-0.0131475,0.141837
1535942023.854183396,-0.15405,0.325738,-0.258399,-0.0730007,0.119825,-0.0148545,0.143958
1535942023.860395696,-0.175825,0.324738,-0.259608,-0.0742607,0.119018,-0.0179832,0.142555
1535942023.866613147,-0.201062,0.322369,-0.258927,-0.0739763,0.12107,-0.0187505,0.144591
1535942023.872879352,-0.217628,0.320662,-0.260002,-0.0748201,0.120171,-0.015233,0.141042
1535942023.879030663,-0.226731,0.319656,-0.258908,-0.0740015,0.118289,-0.0165455,0.141555
1535942023.885097480,-0.244847,0.319369,-0.258482,-0.0746892,0.118731,-0.0167184,0.143681
1535942023.891141533,-0.162947,0.325603,-0.261012,-0.0642674,0.105233,-0.0162153,0.132427
1535942023.897269420,-0.173111,0.325563,-0.261709,-0.0651902,0.104325,-0.0152635,0.130929
1535942023.903331692,-0.193515,0.324761,-0.261165,-0.0652764,0.102704,-0.015615,0.13336
1535942023.909454110,-0.21297,0.324303,-0.260689,-0.0657186,0.101235,-0.0173343,0.135807
1535942023.915619403,-0.22365,0.324102,-0.260915,-0.0677412,0.103819,-0.0169634,0.138407
1535942023.921754182,-0.231027,0.32414,-0.262266,-0.0681589,0.105694,-0.017239,0.136109
1535942023.927895752,-0.132201,0.330953,-0.264468,-0.0578808,0.0974911,-0.0146985,0.119914
1535942023.934023497,-0.138327,0.330499,-0.263475,-0.0583611,0.0999451,-0.0186492,0.119857
1535942023.940217350,-0.144563,0.330627,-0.263753,-0.0595806,0.102276,-0.0337101,0.125743
1535942023.946258265,-0.166024,0.330342,-0.264534,-0.0582053,0.104553,-0.0347803,0.126704
1535942023.952365258,-0.182284,0.329971,-0.264693,-0.061,0.104881,-0.0261273,0.129031
1535942023.958385277,-0.189206,0.329265,-0.264252,-0.064651,0.108176,-0.0113423,0.126996
1535942023.964658122,-0.19855,0.329828,-0.265281,-0.0705651,0.110861,-0.00870075,0.12996
1535942023.970766839,-0.109604,0.335608,-0.26679,-0.0631446,0.0968073,-0.0115556,0.114519
1535942023.976985400,-0.123284,0.335509,-0.266505,-0.0653839,0.0969993,-0.0180562,0.114048
1535942023.983155196,-0.140929,0.335497,-0.268103,-0.0686743,0.0959218,-0.0202857,0.111289
1535942023.989318879,-0.163293,0.335141,-0.268502,-0.0702456,0.0947986,-0.0174564,0.111132
1535942023.995529561,-0.182582,0.335619,-0.269619,-0.0719434,0.0930871,-0.0185915,0.113388
1535942024.001655856,-0.197151,0.334849,-0.269343,-0.0731761,0.091837,-0.0171487,0.116829
1535942024.007812280,-0.20122,0.334957,-0.2709,-0.0761249,0.0906108,-0.0202196,0.122979
1535942024.013860409,-0.103173,0.342052,-0.272298,-0.0679488,0.0737907,-0.0192362,0.114813
1535942024.019913824,-0.115107,0.341836,-0.27277,-0.0721894,0.0742504,-0.0228477,0.115772
1535942024.026046949,-0.124599,0.341611,-0.273175,-0.074393,0.0730502,-0.0199484,0.110311
1535942024.032205610,-0.149807,0.341408,-0.27312,-0.0752021,0.0732511,-0.0216384,0.107221
1535942024.038377436,-0.170711,0.340914,-0.27462,-0.0744476,0.0728247,-0.0198334,0.108153
1535942024.044521030,-0.187672,0.340894,-0.275094,-0.0752051,0.0722146,-0.0193621,0.108713
1535942024.050814684,-0.0902754,0.348229,-0.278355,-0.0649247,0.0573223,-0.0202287,0.094002
1535942024.057080937,-0.10654,0.348093,-0.27829,-0.0664555,0.0573184,-0.0179577,0.0912636
1535942024.063116721,-0.12291,0.347633,-0.278279,-0.0704352,0.0583233,-0.0181754,0.0903479
1535942024.069201434,-0.146287,0.346657,-0.279268,-0.0735524,0.0591674,-0.0194877,0.0880217
1535942024.075296970,-0.164741,0.34371,-0.279216,-0.0749274,0.0592727,-0.0183942,0.0891646
1535942024.081366699,-0.173958,0.337903,-0.278476,-0.0739772,0.0597525,-0.0196031,0.0881543
1535942024.087476273,-0.17997,0.331669,-0.277714,-0.0744102,0.0615074,-0.0202585,0.0841011
1535942024.093751743,-0.0758759,0.337154,-0.279426,-0.0602004,0.0447657,-0.0187488,0.0719576
1535942024.130685116,0.0355912,0.343791,-0.282574,-0.0458213,0.0306674,-0.0186495,0.0548992
1535942024.136912786,-0.0763995,0.336858,-0.284223,-0.0349404,0.0499233,-0.0210786,0.0546587
1535942024.143182549,-0.102329,0.335756,-0.283651,-0.0349051,0.0540723,-0.0218147,0.0551962
1535942024.149299314,-0.125331,0.334987,-0.284192,-0.0350995,0.0535986,-0.0338309,0.0579822
1535942024.155410933,-0.133392,0.335318,-0.2849,-0.0346571,0.054213,-0.0443388,0.0652667
1535942024.161467507,-0.140763,0.336171,-0.286776,-0.0360646,0.0519833,-0.0456078,0.0676622
1535942024.167533726,-0.149108,0.336868,-0.285794,-0.0380191,0.0493245,-0.0393131,0.0638931
1535942024.173656778,-0.0370517,0.347877,-0.291122,-0.0299121,0.0322136,-0.0282473,0.0420226
1535942024.179732740,-0.0388553,0.348995,-0.290271,-0.0337484,0.0295233,-0.0175136,0.0399801
1535942024.185841894,-0.0505883,0.349221,-0.291494,-0.03739,0.0275651,-0.0134074,0.0402296
1535942024.192101705,-0.0746902,0.350074,-0.292351,-0.0419792,0.0260365,-0.0154503,0.0353992
1535942024.198347689,-0.0900119,0.350284,-0.291913,-0.0428724,0.0242103,-0.0211505,0.0382826
1535942024.204428043,-0.109603,0.35074,-0.29318,-0.0455261,0.0228273,-0.0180491,0.0383904
1535942024.210690963,0.000716978,0.359365,-0.296304,-0.0362967,0.00143544,-0.018802,0.0232216
1535942024.216760010,-0.0073434,0.35949,-0.29589,-0.0408047,0.00242084,-0.0204122,0.0225666
1535942024.222852191,-0.0349027,0.359569,-0.29819,-0.0425816,0.000807896,-0.017993,0.0225812
1535942024.229091114,-0.0594631,0.358957,-0.298728,-0.0457991,0.000512308,-0.0215107,0.0253807
1535942024.235285234,-0.0810733,0.358386,-0.299266,-0.0495012,-2.6759e-06,-0.0207238,0.0231617
1535942024.241476809,-0.0950143,0.357892,-0.299794,-0.0553166,-0.000569732,-0.0208565,0.022406
1535942024.247550849,-0.100544,0.359108,-0.301743,-0.0599953,-0.00291314,-0.0210054,0.0222509
1535942024.253778759,0.0246996,0.367865,-0.303233,-0.0512139,-0.0233187,-0.0225044,0.00790323
1535942024.259837554,0.0226107,0.368535,-0.304481,-0.0563644,-0.0250976,-0.0216424,0.0102044
1535942024.265965349,0.00251376,0.368784,-0.305225,-0.0610814,-0.024963,-0.0197107,0.0265032
1535942024.272178510,-0.0266345,0.369519,-0.306628,-0.0623286,-0.0220315,-0.0267091,0.0456056
1535942024.278318162,-0.0467225,0.36905,-0.306632,-0.0643608,-0.0210321,-0.0305109,0.057814
1535942024.284391679,-0.0555348,0.368615,-0.307685,-0.0675035,-0.0187434,-0.033128,0.0691796
1535942024.290404634,-0.0645369,0.367163,-0.308406,-0.0695373,-0.0185145,-0.0328727,0.0666493
1535942024.296623532,0.0621725,0.375578,-0.311368,-0.0568025,-0.0354959,-0.0331635,0.0407699
1535942024.302710531,0.0510708,0.375306,-0.312238,-0.0566262,-0.0357596,-0.0320277,0.0328555
1535942024.308869983,0.0350123,0.375056,-0.312114,-0.0585104,-0.032602,-0.0319818,0.031345
1535942024.314984827,0.00585865,0.374407,-0.312528,-0.0613322,-0.0308417,-0.0257313,0.0248846
1535942024.321076785,-0.00901829,0.373962,-0.311803,-0.0619002,-0.0317611,-0.029067,0.022874
1535942024.327232889,-0.0251049,0.373463,-0.312717,-0.0584444,-0.0303363,-0.0299941,0.019107
1535942024.333449670,0.11061,0.383325,-0.316643,-0.0452679,-0.0464389,-0.028853,-0.00353751
1535942024.339520124,0.108052,0.383469,-0.316623,-0.0456449,-0.0435762,-0.0278221,-0.00579163
1535942024.345658728,0.0927433,0.383272,-0.317193,-0.049372,-0.0415548,-0.0290813,-0.00320406
1535942024.351755062,0.0663186,0.382081,-0.317097,-0.0513252,-0.0363843,-0.030332,-0.00484266
1535942024.357960702,0.049642,0.381612,-0.318115,-0.0506068,-0.0344936,-0.038207,-0.00352268
1535942024.364107271,0.0318258,0.380785,-0.319043,-0.0481682,-0.0336969,-0.0543786,0.00272261
1535942024.370226171,0.0262968,0.379448,-0.318155,-0.0454497,-0.0336819,-0.066082,0.0116596
1535942024.376454634,0.157348,0.389128,-0.322048,-0.0294689,-0.0522466,-0.0659081,0.000977754
1535942024.382514127,0.148522,0.388464,-0.321612,-0.0307527,-0.0505366,-0.0609907,0.0122192
1535942024.388664255,0.135892,0.389297,-0.323758,-0.0322586,-0.0481989,-0.0642759,0.0239058
1535942024.394800992,0.116886,0.389623,-0.324207,-0.0320793,-0.0438485,-0.0646947,0.040575
1535942024.400884700,0.0948093,0.389001,-0.325036,-0.0330984,-0.0400438,-0.0643002,0.0539975
1535942024.407149177,0.0823352,0.387973,-0.326243,-0.0327863,-0.0378565,-0.0644913,0.0702394
1535942024.413315300,0.214683,0.397141,-0.329899,-0.0196997,-0.0547763,-0.0668487,0.0703163
1535942024.419432853,0.204757,0.395387,-0.329842,-0.0183119,-0.0509095,-0.0665292,0.084049
1535942024.425594618,0.184332,0.393006,-0.331463,-0.0195947,-0.0452347,-0.0655846,0.0921316
1535942024.431743296,0.156567,0.390045,-0.331313,-0.0205232,-0.0395521,-0.0659428,0.0909374
1535942024.437855021,0.133849,0.385688,-0.332034,-0.0231188,-0.0345216,-0.0672158,0.0955564
1535942024.444056078,0.12197,0.379572,-0.332311,-0.0246293,-0.028277,-0.065322,0.0870284
1535942024.450301594,0.114147,0.375504,-0.332383,-0.0240984,-0.0234587,-0.0634076,0.0741153
1535942024.456425584,0.252994,0.382263,-0.336076,-0.00997448,-0.0401295,-0.0604473,0.0382985
1535942024.462488478,0.246616,0.381245,-0.337451,-0.0113251,-0.0284379,-0.0572448,0.0285471
1535942024.468556640,0.22101,0.380942,-0.337413,-0.0130259,-0.0159219,-0.0540559,0.0213554
1535942024.474790081,0.187156,0.384121,-0.339849,-0.0167426,-0.00280416,-0.0483132,0.0120468
1535942024.480999773,0.159314,0.386423,-0.3422,-0.0210189,0.0139213,-0.0479306,0.00785263
1535942024.487168022,0.138669,0.388767,-0.344894,-0.0266314,0.0308034,-0.0514942,0.00601026
1535942024.493416280,0.280713,0.401329,-0.350368,-0.0130337,0.0257361,-0.0536847,-0.0193551
1535942024.530537494,0.27899,0.400445,-0.351493,-0.0163715,0.0409773,-0.0545939,-0.0235576
1535942024.536783845,0.307795,0.384809,-0.352288,-0.0261904,0.0904062,-0.0579497,-0.00991776
1535942024.542895227,0.294124,0.384235,-0.353798,-0.0308467,0.0998009,-0.0632254,0.0127589
1535942024.549205097,0.272286,0.382805,-0.356607,-0.0334876,0.102833,-0.0636133,0.0393535
1535942024.555322123,0.252032,0.378902,-0.356669,-0.0346038,0.104925,-0.0666015,0.065376
1535942024.561432117,0.22602,0.376415,-0.357666,-0.03927,0.108057,-0.076149,0.0851272
1535942024.567705457,0.213546,0.374624,-0.357051,-0.0452835,0.108436,-0.089771,0.107126
1535942024.573849732,0.198538,0.37371,-0.358695,-0.0460981,0.10918,-0.0999674,0.117292
1535942024.579947068,0.34106,0.383998,-0.362444,-0.0346093,0.0856531,-0.104896,0.10241
1535942024.586054661,0.329457,0.38178,-0.362904,-0.0376584,0.0861931,-0.10036,0.0949956
1535942024.592319803,0.306674,0.376221,-0.36175,-0.0422118,0.0885868,-0.0928484,0.082765
1535942024.598404335,0.268151,0.370107,-0.360806,-0.045384,0.0930271,-0.0902159,0.0696137
1535942024.604472986,0.242345,0.366294,-0.360402,-0.0525221,0.0966379,-0.0869549,0.0592111
1535942024.610665965,0.218582,0.361116,-0.360829,-0.0563843,0.0980565,-0.0863395,0.0545547
1535942024.616786932,0.371912,0.366651,-0.362757,-0.0466277,0.0756284,-0.0870276,0.0331923
1535942024.622894197,0.356223,0.361896,-0.363233,-0.0500917,0.0728527,-0.0870947,0.0222912
1535942024.629100754,0.337615,0.360609,-0.364973,-0.0565789,0.0690615,-0.0857398,0.0100405
1535942024.635192688,0.300492,0.356953,-0.364245,-0.0639733,0.0662165,-0.0802331,-0.000966322
1535942024.641337499,0.276409,0.353124,-0.36385,-0.0675709,0.0604711,-0.0778774,-0.0108909
1535942024.647473539,0.259387,0.3504,-0.365908,-0.0745531,0.052844,-0.0764139,-0.0153862
1535942024.653592615,0.248886,0.350435,-0.366995,-0.076328,0.0400719,-0.0735179,-0.0251238
1535942024.659793093,0.398831,0.362167,-0.371461,-0.0637123,0.00505623,-0.0737898,-0.0476362
1535942024.665917699,0.389912,0.360558,-0.37207,-0.0643622,-0.00973273,-0.0724917,-0.0511667
1535942024.672095123,0.367644,0.355986,-0.370046,-0.0658911,-0.0260131,-0.0697568,-0.053964
