time,x,y,z,qx,qy,qz,qw
1535592000.888358901,-0.160504,0.558111,2.63075,0.397918,-0.0885207,0.354798,0.841394
1535592000.904063317,-0.161411,0.55741,2.63054,0.392342,-0.0881649,0.358028,0.842681
1535592000.918331514,-0.161818,0.555766,2.63004,0.392211,-0.0899207,0.357334,0.842851
1535592000.927695693,-0.162735,0.554126,2.6295,0.397387,-0.0905419,0.356761,0.8406
1535592000.940938900,-0.162619,0.554117,2.62969,0.393501,-0.0921154,0.357724,0.841847
1535592000.965963055,-0.160859,0.557438,2.63335,0.394239,-0.0918229,0.360563,0.840321
1535592000.989043254,-0.156661,0.558706,2.6338,0.398938,-0.0885569,0.357432,0.839791
1535592000.998364428,-0.156293,0.558427,2.63407,0.399111,-0.0870922,0.351731,0.842266
1535592001.010238798,-0.1553,0.556296,2.63264,0.399404,-0.0884754,0.346483,0.844155
1535592001.023663038,-0.155003,0.557722,2.63427,0.406288,-0.0870723,0.345889,0.841255
1535592001.034935361,-0.156582,0.556442,2.63388,0.400126,-0.089126,0.349059,0.842683
1535592001.054849390,-0.157946,0.55324,2.63399,0.40506,-0.0883967,0.348838,0.840491
1535592001.066515855,-0.159315,0.552249,2.63361,0.400745,-0.0895181,0.350278,0.84184
1535592001.086774217,-0.155346,0.556079,2.63442,0.399954,-0.0904921,0.350639,0.841962
1535592001.098216639,-0.15216,0.559245,2.6388,0.394601,-0.0864351,0.351248,0.844656
1535592001.121776679,-0.150733,0.558577,2.63884,0.39817,-0.085724,0.348689,0.844114
1535592001.144725718,-0.151363,0.552396,2.63605,0.405174,-0.0860286,0.341088,0.843856
1535592001.165621503,-0.151553,0.554311,2.6396,0.40529,-0.0841411,0.339476,0.84464
1535592001.177011613,-0.149818,0.555626,2.64061,0.405967,-0.0852626,0.339199,0.844314
1535592001.190157026,-0.147786,0.556598,2.64217,0.406653,-0.082177,0.339484,0.844175
1535592001.208737588,-0.144332,0.559533,2.64497,0.402259,-0.0813989,0.339991,0.846149
1535592001.224132604,-0.141915,0.559342,2.64594,0.401318,-0.0803129,0.343132,0.845431
1535592001.244703757,-0.140272,0.560982,2.6519,0.398234,-0.0800244,0.343113,0.846924
1535592001.268289063,-0.138953,0.560229,2.65065,0.398807,-0.0829991,0.342148,0.846758
1535592001.288586835,-0.139782,0.555005,2.65116,0.399937,-0.0794708,0.337922,0.848259
1535592001.311260060,-0.139873,0.553632,2.6534,0.401336,-0.0779841,0.336694,0.848225
1535592001.338061515,-0.136604,0.554123,2.65374,0.402143,-0.0769757,0.338038,0.8474
1535592001.358516385,-0.133004,0.55188,2.65464,0.402093,-0.0730969,0.334251,0.849267
1535592001.376633057,-0.134715,0.548224,2.65663,0.405204,-0.0736881,0.336516,0.846839
1535592001.402674525,-0.131825,0.548931,2.65815,0.400554,-0.0738456,0.340078,0.847615
1535592001.421376431,-0.128895,0.550117,2.6615,0.397909,-0.0714458,0.342502,0.84809
1535592001.445630637,-0.12964,0.546416,2.66334,0.401104,-0.0673003,0.342183,0.847052
1535592001.469734332,-0.130551,0.546211,2.66475,0.399729,-0.0666177,0.337761,0.849527
1535592001.494448450,-0.128222,0.545459,2.66639,0.406688,-0.0642598,0.33882,0.845977
1535592001.505717743,-0.127142,0.543906,2.66817,0.403336,-0.0651093,0.341117,0.846593
1535592001.527339408,-0.125272,0.541628,2.67016,0.404079,-0.0654266,0.344648,0.844782
1535592001.539396518,-0.123478,0.542395,2.67273,0.405145,-0.0649761,0.344969,0.844176
1535592001.550288131,-0.125124,0.539166,2.6732,0.404876,-0.0675465,0.347914,0.842893
1535592001.565367394,-0.120105,0.535459,2.67657,0.406674,-0.065655,0.349792,0.841399
1535592001.591525342,-0.118811,0.537564,2.68216,0.394664,-0.0677052,0.352572,0.845783
1535592001.613614961,-0.118681,0.534443,2.68539,0.396925,-0.0635683,0.350217,0.846025
1535592001.633951578,-0.117677,0.531284,2.68656,0.397336,-0.0622953,0.348986,0.846435
1535592001.657018054,-0.116899,0.529013,2.68685,0.404234,-0.0581003,0.352195,0.842127
1535592001.668832445,-0.115029,0.526654,2.68768,0.403533,-0.057586,0.351596,0.842749
1535592001.688485087,-0.113728,0.527202,2.69051,0.410416,-0.0497277,0.348346,0.841274
1535592001.698564747,-0.114057,0.526099,2.69242,0.399892,-0.0522643,0.348114,0.84627
1535592001.714684270,-0.115846,0.522191,2.69445,0.400758,-0.0510195,0.344923,0.847242
1535592001.723965947,-0.119056,0.516043,2.69289,0.397083,-0.0513062,0.343308,0.849608
1535592001.747333567,-0.118675,0.513157,2.69754,0.400719,-0.0452562,0.338901,0.850013
1535592001.767243516,-0.117719,0.511581,2.69911,0.399213,-0.0501521,0.341516,0.849401
1535592001.780252650,-0.117759,0.510987,2.69986,0.400487,-0.0466809,0.342787,0.848486
1535592001.792015407,-0.119303,0.508475,2.70178,0.396452,-0.0499596,0.34369,0.849828
1535592001.803162900,-0.117145,0.508058,2.70414,0.399001,-0.0481587,0.343871,0.848665
1535592001.821021826,-0.11699,0.507012,2.70574,0.397703,-0.0482116,0.343572,0.849392
1535592001.838980861,-0.119218,0.499563,2.7092,0.401427,-0.049789,0.339173,0.849317
1535592001.860745335,-0.11793,0.496708,2.71352,0.400863,-0.0494684,0.340749,0.848971
1535592001.883066164,-0.113668,0.497197,2.71863,0.394619,-0.0498558,0.345038,0.850141
1535592001.902213704,-0.110619,0.497626,2.7237,0.39479,-0.0484568,0.344455,0.850379
1535592001.927119907,-0.109956,0.493612,2.72749,0.392144,-0.0503959,0.340732,0.852986
1535592001.949034064,-0.115384,0.486943,2.72861,0.395861,-0.0471058,0.34104,0.851333
1535592001.959443183,-0.113045,0.486446,2.72961,0.396226,-0.0443007,0.337052,0.8529
1535592001.968830498,-0.111956,0.487226,2.73113,0.393149,-0.043679,0.336556,0.854551
1535592001.987754525,-0.114705,0.482031,2.73328,0.392262,-0.042833,0.335665,0.855351
1535592001.998639839,-0.112716,0.480826,2.7353,0.39961,-0.0358129,0.332068,0.853675
1535592002.015879053,-0.117776,0.473945,2.73949,0.39206,-0.0393914,0.333013,0.856645
1535592002.026455444,-0.117376,0.472216,2.74093,0.392499,-0.0380607,0.333252,0.85641
1535592002.045464274,-0.121625,0.464927,2.74614,0.391034,-0.0414948,0.334306,0.856511
1535592002.067982887,-0.11847,0.467497,2.75034,0.389378,-0.037855,0.334495,0.857359
1535592002.084539323,-0.117475,0.466303,2.75385,0.388093,-0.0357656,0.335031,0.857823
1535592002.092560369,-0.116389,0.465041,2.75596,0.387539,-0.0385921,0.336764,0.857272
1535592002.102994698,-0.114353,0.465436,2.75815,0.38608,-0.0384314,0.335936,0.858261
1535592002.115405521,-0.117376,0.460207,2.76102,0.390826,-0.0366296,0.337527,0.855563
1535592002.129547067,-0.11743,0.45904,2.76338,0.386905,-0.038411,0.337631,0.857225
1535592002.151152473,-0.118785,0.454845,2.76877,0.389284,-0.0349639,0.334429,0.857551
1535592002.161627235,-0.116873,0.454896,2.77164,0.3868,-0.0373653,0.336042,0.857943
1535592002.180354211,-0.11639,0.449999,2.77919,0.386846,-0.0364923,0.339411,0.856633
1535592002.203480997,-0.118141,0.444593,2.78142,0.392215,-0.0333335,0.336215,0.85558
1535592002.229971324,-0.119496,0.440956,2.78425,0.384729,-0.0384984,0.338215,0.85797
1535592002.236919438,-0.12099,0.440671,2.78609,0.389755,-0.0344606,0.337771,0.856046
1535592002.252235041,-0.120703,0.438444,2.78912,0.387429,-0.0348482,0.336765,0.857481
1535592002.266378630,-0.119098,0.438301,2.79136,0.38766,-0.0349002,0.336897,0.857323
1535592002.278237910,-0.120357,0.437417,2.79384,0.386412,-0.0345926,0.337512,0.857657
1535592002.288503835,-0.119258,0.437784,2.79662,0.385911,-0.0315746,0.335854,0.858649
1535592002.307954015,-0.121554,0.435221,2.80395,0.383828,-0.0299541,0.334377,0.860216
1535592002.318324099,-0.122179,0.431408,2.80719,0.38096,-0.0313256,0.32814,0.863836
1535592002.336547409,-0.123261,0.429227,2.8123,0.381934,-0.0336754,0.335641,0.860429
1535592002.360970780,-0.123268,0.42605,2.81773,0.379773,-0.0338192,0.33364,0.862156
1535592002.380926783,-0.126827,0.421143,2.8224,0.380728,-0.0383393,0.339353,0.859312
1535592002.402213587,-0.129436,0.417351,2.82597,0.383489,-0.0384806,0.339452,0.858037
1535592002.428847025,-0.127274,0.417039,2.83092,0.381686,-0.0381189,0.342191,0.857769
1535592002.449604471,-0.125972,0.418268,2.83671,0.379059,-0.0370685,0.345166,0.857788
1535592002.468117843,-0.125049,0.419481,2.84122,0.382875,-0.0339747,0.341342,0.857752
1535592002.492982006,-0.122434,0.418067,2.84408,0.375825,-0.0331429,0.340798,0.861112
1535592002.516746567,-0.125362,0.41353,2.85051,0.377908,-0.0288768,0.340135,0.860616
1535592002.526307465,-0.124693,0.413789,2.84994,0.376267,-0.0284864,0.337597,0.862345
1535592002.536392748,-0.127533,0.412424,2.85301,0.37635,-0.0274918,0.336235,0.862874
1535592002.547183014,-0.127629,0.410117,2.85588,0.376591,-0.0257658,0.336651,0.86266
1535592002.558942480,-0.128931,0.407876,2.85786,0.372414,-0.0268231,0.337771,0.864002
1535592002.570597316,-0.131094,0.406922,2.86044,0.375098,-0.0263076,0.338321,0.862641
1535592002.583308304,-0.13217,0.404682,2.86298,0.37242,-0.0296625,0.338787,0.863509
1535592002.591108315,-0.132151,0.404768,2.86551,0.376308,-0.0322993,0.339214,0.861558
1535592002.605228667,-0.133304,0.403445,2.86733,0.371217,-0.033967,0.342232,0.862509
1535592002.622702814,-0.131262,0.404673,2.86918,0.376557,-0.0313577,0.344404,0.859423
1535592002.634934748,-0.130539,0.406379,2.87314,0.370585,-0.0325801,0.346571,0.861101
1535592002.650008103,-0.12989,0.406559,2.87805,0.370124,-0.0298338,0.34197,0.863235
1535592002.658131724,-0.129645,0.407565,2.88042,0.369206,-0.0315722,0.3459,0.862
1535592002.682107342,-0.13247,0.40633,2.88843,0.36571,-0.0322844,0.344862,0.863877
1535592002.706808037,-0.134145,0.407469,2.89208,0.363753,-0.0293291,0.340357,0.866592
1535592002.729663088,-0.133874,0.406483,2.89273,0.361791,-0.0283018,0.338092,0.868332
1535592002.743166577,-0.137277,0.405626,2.89435,0.359846,-0.027837,0.336329,0.869838
1535592002.755878650,-0.138692,0.4038,2.89522,0.359085,-0.0310766,0.33895,0.869026
1535592002.778062168,-0.143399,0.402074,2.89808,0.354032,-0.0357759,0.339222,0.87081
1535592002.786569746,-0.144522,0.399401,2.8982,0.358429,-0.0357809,0.343179,0.867454
1535592002.804788927,-0.146199,0.395515,2.89851,0.364604,-0.0386103,0.343539,0.864612
1535592002.827313104,-0.146006,0.395943,2.90022,0.366546,-0.0394548,0.348966,0.861575
1535592002.851037949,-0.14247,0.400069,2.90187,0.362172,-0.0408508,0.345529,0.864738
1535592002.874669385,-0.14164,0.400586,2.90264,0.364266,-0.0386639,0.341996,0.865364
1535592002.894605928,-0.139609,0.399477,2.90157,0.367142,-0.0402783,0.34301,0.863672
1535592002.929441755,-0.138262,0.398468,2.90101,0.369268,-0.0377436,0.34385,0.862545
1535592002.950041119,-0.137959,0.398687,2.90095,0.372271,-0.0371264,0.349946,0.858822
1535592002.961491531,-0.136537,0.397337,2.90038,0.37486,-0.0362707,0.347776,0.858613
1535592002.984865404,-0.134744,0.397129,2.90048,0.377227,-0.0332966,0.347402,0.857848
1535592003.007633989,-0.135665,0.397351,2.89983,0.376852,-0.0333051,0.345959,0.858595
1535592003.028998352,-0.135836,0.39399,2.89795,0.378946,-0.0334906,0.34365,0.858594
1535592003.039755326,-0.136278,0.394937,2.89792,0.3764,-0.0339349,0.342952,0.859974
1535592003.053071782,-0.136577,0.393649,2.89832,0.378079,-0.0328328,0.344959,0.858477
1535592003.075774497,-0.133932,0.397919,2.9001,0.37572,-0.0320303,0.345992,0.859127
1535592003.095031261,-0.132555,0.396977,2.9006,0.377483,-0.0325758,0.348651,0.857256
1535592003.119065800,-0.134581,0.393801,2.90059,0.378215,-0.0335783,0.351273,0.855823
1535592003.139728733,-0.134902,0.394724,2.90142,0.375474,-0.0334375,0.348946,0.857985
1535592003.155358313,-0.133106,0.395563,2.90247,0.377999,-0.0309448,0.347983,0.857361
1535592003.169004912,-0.132649,0.396164,2.9027,0.374727,-0.03258,0.350137,0.85786
1535592003.179898187,-0.132888,0.395073,2.90225,0.378787,-0.0312845,0.349148,0.856526
1535592003.192606941,-0.135508,0.394654,2.90243,0.377901,-0.0331159,0.35141,0.855924
1535592003.204227296,-0.136885,0.391922,2.90262,0.377499,-0.0351459,0.353459,0.855176
1535592003.213961001,-0.137548,0.392396,2.90318,0.3763,-0.0347625,0.35291,0.855947
1535592003.229211188,-0.136815,0.392772,2.90425,0.379894,-0.0331264,0.351912,0.854834
1535592003.252413966,-0.137681,0.389103,2.90215,0.384508,-0.0310269,0.346455,0.855079
1535592003.273611308,-0.139637,0.388823,2.90174,0.380533,-0.0354601,0.349668,0.855377
1535592003.296736021,-0.139488,0.391548,2.90349,0.377398,-0.0372055,0.351161,0.85608
1535592003.321049191,-0.138131,0.393317,2.90413,0.377795,-0.0362663,0.350535,0.856201
1535592003.341590903,-0.138632,0.393605,2.90475,0.377373,-0.0380486,0.351148,0.856059
1535592003.354917318,-0.138207,0.393513,2.9049,0.377923,-0.0377236,0.350339,0.856163
1535592003.363880981,-0.138143,0.393788,2.90531,0.377707,-0.0378514,0.350116,0.856343
1535592003.376437954,-0.1382,0.393393,2.90555,0.377599,-0.0380198,0.350598,0.856186
